run,model,threshold,sig_eff,fpr
A_combined,XGB,0.9983,0.3469,1.39e-04
A_combined,XGB-NOJETS,0.9981,0.3775,1.44e-04
A_DoubleMu,XGB,0.9944,0.5324,1.70e-04
A_DoubleMu,XGB-NOJETS,0.9958,0.4987,1.32e-04
A_Mu10,XGB,0.9957,0.5307,4.74e-04
A_Mu10,XGB-NOJETS,0.9956,0.4372,4.21e-04
B1_combined,XGB,0.9983,0.3165,1.04e-04
B1_combined,XGB-NOJETS,0.9961,0.3921,1.00e-04
B1_DoubleMu,XGB,0.9984,0.3142,1.69e-04
B1_DoubleMu,XGB-NOJETS,0.9983,0.2808,1.90e-04
B1_Mu10,XGB,0.9834,0.5646,2.44e-04
B1_Mu10,XGB-NOJETS,0.9953,0.4032,4.27e-04
