run,model,thr_FPR_1e-1,thr_FPR_1e-2,thr_FPR_1e-3,thr_FPR_1e-4
A_combined,xgb01,0.4215,0.9209,0.9894,0.9979
A_combined,xgb01_NOJETS,0.4520,0.9313,0.9908,0.9980
A_DoubleMu,xgb01,0.4509,0.9377,0.9912,0.9981
A_DoubleMu,xgb01_NOJETS,0.4799,0.9423,0.9921,0.9982
A_Mu10,xgb01,0.1938,0.9025,0.9894,0.9972
A_Mu10,xgb01_NOJETS,0.2091,0.8801,0.9836,0.9956
B1_combined,xgb01,0.4442,0.9235,0.9901,0.9980
B1_combined,xgb01_NOJETS,0.4784,0.9253,0.9901,0.9981
B1_DoubleMu,xgb01,0.4961,0.9440,0.9930,0.9987
B1_DoubleMu,xgb01_NOJETS,0.5135,0.9366,0.9916,0.9985
B1_Mu10,xgb01,0.2025,0.8400,0.9789,0.9955
B1_Mu10,xgb01_NOJETS,0.2216,0.8595,0.9817,0.9962
