
"# TABLE: Signal absolute counts | DoubleMu | mpi=4, mA=1.33"
Cut step,"mpi=4, mA=1.33, ctau=0.1mm","mpi=4, mA=1.33, ctau=1mm","mpi=4, mA=1.33, ctau=10mm","mpi=4, mA=1.33, ctau=100mm",QCD Total (weighted)
N_total,917872,868835,861355,943679,105584726.4
Kin sel.,236705,221463,197330,117118,15340940.2
HLT presel.,118799,96863,59132,12507,707505.9
SV sel. (chi2<10),117829,94418,53354,10998,686936.4
BDT sel.,6306,23459,33296,8085,96.1

"# TABLE: Signal relative effs wrt N_total | DoubleMu | mpi=4, mA=1.33"
Efficiency,"mpi=4, mA=1.33, ctau=0.1mm","mpi=4, mA=1.33, ctau=1mm","mpi=4, mA=1.33, ctau=10mm","mpi=4, mA=1.33, ctau=100mm",QCD Weighted.eff
eps_kin,0.2579,0.2549,0.2291,0.1241,0.1470
eps_HLT,0.1294,0.1115,0.0686,0.0133,0.0069
eps_SV,0.1284,0.1087,0.0619,0.0117,0.0067
eps_BDT,0.0069,0.0270,0.0387,0.0086,9.35e-07

"# TABLE: Signal relative effs wrt previous step | DoubleMu | mpi=4, mA=1.33"
Efficiency,"mpi=4, mA=1.33, ctau=0.1mm","mpi=4, mA=1.33, ctau=1mm","mpi=4, mA=1.33, ctau=10mm","mpi=4, mA=1.33, ctau=100mm",QCD Weighted.eff
eps_kin,0.2579,0.2549,0.2291,0.1241,0.1470
eps_HLT,0.5019,0.4374,0.2997,0.1068,0.0458
eps_SV,0.9918,0.9748,0.9023,0.8793,0.9715
eps_BDT,0.0535,0.2485,0.6241,0.7351,1.46e-04

"# TABLE: 95% CL upper limit on B(H->psipsibar) | DoubleMu | mpi=4, mA=1.33 | sigma_ggH=43.9 pb, L=109.95/fb, B(A'->mumu)=0.317"
FPR,BDT threshold,"mpi=4, mA=1.33, ctau=0.1mm","mpi=4, mA=1.33, ctau=1mm","mpi=4, mA=1.33, ctau=10mm","mpi=4, mA=1.33, ctau=100mm"
1e-01,0.4316,0.03494,0.02555,0.03954,0.2208
1e-02,0.9252,0.01956,0.01015,0.01338,0.07316
1e-03,0.9896,0.01435,0.004644,0.004813,0.02506
1e-04,0.9979,0.01763,0.002783,0.001936,0.009289

"# TABLE: Asymptotic significance p0 (Z) | DoubleMu | mpi=4, mA=1.33 | sigmaxBR=0.439 pb, L=109.95/fb"
FPR,BDT threshold,"mpi=4, mA=1.33, ctau=0.1mm","mpi=4, mA=1.33, ctau=1mm","mpi=4, mA=1.33, ctau=10mm","mpi=4, mA=1.33, ctau=100mm"
1e-01,0.4316,"0.319 (0.47 sigma)","0.26 (0.64 sigma)","0.339 (0.42 sigma)","0.47 (0.07 sigma)"
1e-02,0.9252,"0.2 (0.84 sigma)","0.0525 (1.62 sigma)","0.109 (1.23 sigma)","0.411 (0.22 sigma)"
1e-03,0.9896,"0.126 (1.15 sigma)","0.000199 (3.54 sigma)","0.000316 (3.42 sigma)","0.256 (0.66 sigma)"
1e-04,0.9979,"0.175 (0.93 sigma)","1.84e-09 (5.90 sigma)","1.33e-17 (8.46 sigma)","0.0381 (1.77 sigma)"

"# TABLE: lxy=[0,1]cm efficiencies | DoubleMu | mpi=4, mA=1.33"
Step,"mpi=4, mA=1.33, ctau=0.1mm","mpi=4, mA=1.33, ctau=1mm","mpi=4, mA=1.33, ctau=10mm","mpi=4, mA=1.33, ctau=100mm"
N_lxy,235956,170269,87762,46462
eps_kin,0.9624,0.9536,0.9374,0.9174
eps_HLT,0.4995,0.3625,0.1442,0.0428
eps_SV,0.4958,0.3522,0.1160,0.0333
eps_BDT,0.0262,0.0494,0.0155,0.0044
eps_kin_prev,0.9624,0.9536,0.9374,0.9174
eps_HLT_prev,0.5190,0.3802,0.1538,0.0467
eps_SV_prev,0.9927,0.9715,0.8044,0.7784
eps_BDT_prev,0.0528,0.1401,0.1340,0.1311

"# TABLE: lxy=[1,10]cm efficiencies | DoubleMu | mpi=4, mA=1.33"
Step,"mpi=4, mA=1.33, ctau=0.1mm","mpi=4, mA=1.33, ctau=1mm","mpi=4, mA=1.33, ctau=10mm","mpi=4, mA=1.33, ctau=100mm"
N_lxy,9649,58672,87868,51347
eps_kin,0.8612,0.9724,0.9605,0.9322
eps_HLT,0.0779,0.5892,0.3988,0.1224
eps_SV,0.0702,0.5791,0.3715,0.1094
eps_BDT,0.0118,0.2522,0.2454,0.0770
eps_kin_prev,0.8612,0.9724,0.9605,0.9322
eps_HLT_prev,0.0905,0.6060,0.4152,0.1313
eps_SV_prev,0.9003,0.9827,0.9314,0.8937
eps_BDT_prev,0.1684,0.4355,0.6608,0.7036

"# TABLE: lxy=[10,100]cm efficiencies | DoubleMu | mpi=4, mA=1.33"
Step,"mpi=4, mA=1.33, ctau=0.1mm","mpi=4, mA=1.33, ctau=1mm","mpi=4, mA=1.33, ctau=10mm","mpi=4, mA=1.33, ctau=100mm"
N_lxy,1373,2097,30863,27336
eps_kin,0.9359,0.9547,0.9908,0.9681
eps_HLT,0.1340,0.2613,0.3699,0.1547
eps_SV,0.1100,0.2222,0.3411,0.1401
eps_BDT,0.0095,0.1226,0.3357,0.1437
eps_kin_prev,0.9359,0.9547,0.9908,0.9681
eps_HLT_prev,0.1432,0.2737,0.3733,0.1598
eps_SV_prev,0.8207,0.8504,0.9220,0.9059
eps_BDT_prev,0.0861,0.5515,0.9843,1.0256

"# TABLE: Signal absolute counts | DoubleMu | mpi=4, mA=0.40"
Cut step,"mpi=4, mA=0.40, ctau=0.1mm","mpi=4, mA=0.40, ctau=1mm","mpi=4, mA=0.40, ctau=10mm","mpi=4, mA=0.40, ctau=100mm",QCD Total (weighted)
N_total,913060,960840,879810,960785,105584726.4
Kin sel.,322052,327538,218115,109027,15340940.2
HLT presel.,189700,165134,58657,8565,707505.9
SV sel. (chi2<10),188292,158966,52316,7642,686936.4
BDT sel.,43657,90705,36578,5357,96.1

"# TABLE: Signal relative effs wrt N_total | DoubleMu | mpi=4, mA=0.40"
Efficiency,"mpi=4, mA=0.40, ctau=0.1mm","mpi=4, mA=0.40, ctau=1mm","mpi=4, mA=0.40, ctau=10mm","mpi=4, mA=0.40, ctau=100mm",QCD Weighted.eff
eps_kin,0.3527,0.3409,0.2479,0.1135,0.1470
eps_HLT,0.2078,0.1719,0.0667,0.0089,0.0069
eps_SV,0.2062,0.1654,0.0595,0.0080,0.0067
eps_BDT,0.0478,0.0944,0.0416,0.0056,9.35e-07

"# TABLE: Signal relative effs wrt previous step | DoubleMu | mpi=4, mA=0.40"
