
"# TABLE: Signal absolute counts | Mu10 | mpi=4, mA=1.33"
Cut step,"mpi=4, mA=1.33, ctau=0.1mm","mpi=4, mA=1.33, ctau=1mm","mpi=4, mA=1.33, ctau=10mm","mpi=4, mA=1.33, ctau=100mm",QCD Total (weighted)
N_total,917872,868835,861355,943679,84944973.7
Kin sel.,67840,63990,58778,45840,2243535.5
HLT presel.,4356,20608,23499,6512,219900.0
SV sel. (chi2<10 dR<1.2),4027,16470,15360,3821,44983.2
BDT sel.,747,7303,9926,2523,21.9

"# TABLE: Signal relative effs wrt N_total | Mu10 | mpi=4, mA=1.33"
Efficiency,"mpi=4, mA=1.33, ctau=0.1mm","mpi=4, mA=1.33, ctau=1mm","mpi=4, mA=1.33, ctau=10mm","mpi=4, mA=1.33, ctau=100mm",QCD Weighted.eff
eps_kin,0.0739,0.0737,0.0682,0.0486,0.0273
eps_HLT,0.0047,0.0237,0.0273,0.0069,0.0027
eps_SV,0.0044,0.0190,0.0178,0.0040,0.0006
eps_BDT,0.0008,0.0084,0.0115,0.0027,0.0000

"# TABLE: lxy=[0,1]cm efficiencies | Mu10 | mpi=4, mA=1.33"
Step,"mpi=4, mA=1.33, ctau=0.1mm","mpi=4, mA=1.33, ctau=1mm","mpi=4, mA=1.33, ctau=10mm","mpi=4, mA=1.33, ctau=100mm"
N_lxy,235956,170269,87762,46462
eps_kin,0.2778,0.2449,0.2430,0.4325
eps_HLT,0.0174,0.0623,0.0794,0.0356
eps_SV,0.0161,0.0404,0.0219,0.0116
eps_BDT,0.0029,0.0114,0.0060,0.0020

"# TABLE: lxy=[1,10]cm efficiencies | Mu10 | mpi=4, mA=1.33"
Step,"mpi=4, mA=1.33, ctau=0.1mm","mpi=4, mA=1.33, ctau=1mm","mpi=4, mA=1.33, ctau=10mm","mpi=4, mA=1.33, ctau=100mm"
N_lxy,9649,58672,87868,51347
eps_kin,0.1864,0.3635,0.2753,0.3171
eps_HLT,0.0256,0.1652,0.1185,0.0506
eps_SV,0.0221,0.1590,0.0920,0.0283
eps_BDT,0.0074,0.0892,0.0582,0.0176

"# TABLE: lxy=[10,100]cm efficiencies | Mu10 | mpi=4, mA=1.33"
Step,"mpi=4, mA=1.33, ctau=0.1mm","mpi=4, mA=1.33, ctau=1mm","mpi=4, mA=1.33, ctau=10mm","mpi=4, mA=1.33, ctau=100mm"
N_lxy,1373,2097,30863,27336
eps_kin,0.3416,0.4483,0.4280,0.3426
eps_HLT,0.0073,0.1507,0.1975,0.0824
eps_SV,0.0036,0.1297,0.1728,0.0668
eps_BDT,0.0000,0.0629,0.1389,0.0556

"# TABLE: Signal absolute counts | Mu10 | mpi=4, mA=0.40"
Cut step,"mpi=4, mA=0.40, ctau=0.1mm","mpi=4, mA=0.40, ctau=1mm","mpi=4, mA=0.40, ctau=10mm","mpi=4, mA=0.40, ctau=100mm",QCD Total (weighted)
N_total,913060,960840,879810,960785,84944973.7
Kin sel.,100114,101859,72261,65297,2243535.5
HLT presel.,5536,29249,18653,3095,219900.0
SV sel. (chi2<10 dR<1.2),5324,24839,12536,1998,44983.2
BDT sel.,3203,17839,8856,1207,21.9

"# TABLE: Signal relative effs wrt N_total | Mu10 | mpi=4, mA=0.40"
Efficiency,"mpi=4, mA=0.40, ctau=0.1mm","mpi=4, mA=0.40, ctau=1mm","mpi=4, mA=0.40, ctau=10mm","mpi=4, mA=0.40, ctau=100mm",QCD Weighted.eff
eps_kin,0.1096,0.1060,0.0821,0.0680,0.0273
eps_HLT,0.0061,0.0304,0.0212,0.0032,0.0027
eps_SV,0.0058,0.0259,0.0142,0.0021,0.0006
eps_BDT,0.0035,0.0186,0.0101,0.0013,0.0000

"# TABLE: lxy=[0,1]cm efficiencies | Mu10 | mpi=4, mA=0.40"
Step,"mpi=4, mA=0.40, ctau=0.1mm","mpi=4, mA=0.40, ctau=1mm","mpi=4, mA=0.40, ctau=10mm","mpi=4, mA=0.40, ctau=100mm"
N_lxy,301977,179263,94058,61544
eps_kin,0.2888,0.2557,0.3088,0.6565
eps_HLT,0.0089,0.0489,0.0582,0.0152
eps_SV,0.0083,0.0292,0.0227,0.0065
eps_BDT,0.0037,0.0150,0.0090,0.0007

"# TABLE: lxy=[1,10]cm efficiencies | Mu10 | mpi=4, mA=0.40"
Step,"mpi=4, mA=0.40, ctau=0.1mm","mpi=4, mA=0.40, ctau=1mm","mpi=4, mA=0.40, ctau=10mm","mpi=4, mA=0.40, ctau=100mm"
N_lxy,29476,142485,84528,36474
eps_kin,0.4189,0.3249,0.2976,0.4718
eps_HLT,0.0955,0.1158,0.0815,0.0286
eps_SV,0.0945,0.1128,0.0598,0.0186
eps_BDT,0.0709,0.0867,0.0411,0.0112

"# TABLE: lxy=[10,100]cm efficiencies | Mu10 | mpi=4, mA=0.40"
Step,"mpi=4, mA=0.40, ctau=0.1mm","mpi=4, mA=0.40, ctau=1mm","mpi=4, mA=0.40, ctau=10mm","mpi=4, mA=0.40, ctau=100mm"
N_lxy,1443,17612,50041,17685
eps_kin,0.3818,0.5511,0.3592,0.4290
eps_HLT,0.0201,0.2266,0.1254,0.0629
eps_SV,0.0146,0.2007,0.1066,0.0517
eps_BDT,0.0007,0.1582,0.0905,0.0428

"# TABLE: Signal absolute counts | Mu10 | mpi=10, mA=1.00"
Cut step,"mpi=10, mA=1.00, ctau=0.1mm","mpi=10, mA=1.00, ctau=1mm","mpi=10, mA=1.00, ctau=10mm","mpi=10, mA=1.00, ctau=100mm",QCD Total (weighted)
N_total,911340,804161,806777,853360,84944973.7
Kin sel.,92101,79995,69352,49050,2243535.5
HLT presel.,8732,30326,26910,5888,219900.0
SV sel. (chi2<10 dR<1.2),8467,27095,20495,4065,44983.2
BDT sel.,3839,17194,14849,2804,21.9

"# TABLE: Signal relative effs wrt N_total | Mu10 | mpi=10, mA=1.00"
Efficiency,"mpi=10, mA=1.00, ctau=0.1mm","mpi=10, mA=1.00, ctau=1mm","mpi=10, mA=1.00, ctau=10mm","mpi=10, mA=1.00, ctau=100mm",QCD Weighted.eff
eps_kin,0.1011,0.0995,0.0860,0.0575,0.0273
eps_HLT,0.0096,0.0377,0.0334,0.0069,0.0027
eps_SV,0.0093,0.0337,0.0254,0.0048,0.0006
eps_BDT,0.0042,0.0214,0.0184,0.0033,0.0000

"# TABLE: lxy=[0,1]cm efficiencies | Mu10 | mpi=10, mA=1.00"
Step,"mpi=10, mA=1.00, ctau=0.1mm","mpi=10, mA=1.00, ctau=1mm","mpi=10, mA=1.00, ctau=10mm","mpi=10, mA=1.00, ctau=100mm"
N_lxy,195034,93909,50055,40979
