
"# TABLE: Signal absolute counts | Mu10ORDoubleMu | mpi=4, mA=1.33"
Cut step,"mpi=4, mA=1.33, ctau=0.1mm","mpi=4, mA=1.33, ctau=1mm","mpi=4, mA=1.33, ctau=10mm","mpi=4, mA=1.33, ctau=100mm",QCD Total (weighted)
N_total,917872,868835,861355,943679,104417287.1
Kin sel.,236705,221463,197330,117118,15169769.1
HLT presel.,119524,103636,71868,17082,945198.8
SV sel. (chi2<10 dR<1.2),116794,96590,58235,12809,686213.0
BDT sel.,8195,28002,37027,9607,92.3

"# TABLE: Signal relative effs wrt N_total | Mu10ORDoubleMu | mpi=4, mA=1.33"
Efficiency,"mpi=4, mA=1.33, ctau=0.1mm","mpi=4, mA=1.33, ctau=1mm","mpi=4, mA=1.33, ctau=10mm","mpi=4, mA=1.33, ctau=100mm",QCD Weighted.eff
eps_kin,0.2579,0.2549,0.2291,0.1241,0.1470
eps_HLT,0.1302,0.1193,0.0834,0.0181,0.0094
eps_SV,0.1272,0.1112,0.0676,0.0136,0.0068
eps_BDT,0.0089,0.0322,0.0430,0.0102,0.0000

"# TABLE: lxy=[0,1]cm efficiencies | Mu10ORDoubleMu | mpi=4, mA=1.33"
Step,"mpi=4, mA=1.33, ctau=0.1mm","mpi=4, mA=1.33, ctau=1mm","mpi=4, mA=1.33, ctau=10mm","mpi=4, mA=1.33, ctau=100mm"
N_lxy,235956,170269,87762,46462
eps_kin,0.9624,0.9536,0.9374,0.9174
eps_HLT,0.5023,0.3908,0.2064,0.0738
eps_SV,0.4914,0.3554,0.1205,0.0386
eps_BDT,0.0341,0.0616,0.0197,0.0061

"# TABLE: lxy=[1,10]cm efficiencies | Mu10ORDoubleMu | mpi=4, mA=1.33"
Step,"mpi=4, mA=1.33, ctau=0.1mm","mpi=4, mA=1.33, ctau=1mm","mpi=4, mA=1.33, ctau=10mm","mpi=4, mA=1.33, ctau=100mm"
N_lxy,9649,58672,87868,51347
eps_kin,0.8612,0.9724,0.9605,0.9322
eps_HLT,0.0838,0.6208,0.4492,0.1566
eps_SV,0.0720,0.6054,0.3971,0.1205
eps_BDT,0.0158,0.2940,0.2644,0.0883

"# TABLE: lxy=[10,100]cm efficiencies | Mu10ORDoubleMu | mpi=4, mA=1.33"
Step,"mpi=4, mA=1.33, ctau=0.1mm","mpi=4, mA=1.33, ctau=1mm","mpi=4, mA=1.33, ctau=10mm","mpi=4, mA=1.33, ctau=100mm"
N_lxy,1373,2097,30863,27336
eps_kin,0.9359,0.9547,0.9908,0.9681
eps_HLT,0.1369,0.3166,0.4618,0.2049
eps_SV,0.1092,0.2589,0.4131,0.1764
eps_BDT,0.0051,0.1268,0.3907,0.1750

"# TABLE: Signal absolute counts | Mu10ORDoubleMu | mpi=4, mA=0.40"
Cut step,"mpi=4, mA=0.40, ctau=0.1mm","mpi=4, mA=0.40, ctau=1mm","mpi=4, mA=0.40, ctau=10mm","mpi=4, mA=0.40, ctau=100mm",QCD Total (weighted)
N_total,913060,960840,879810,960785,104417287.1
Kin sel.,322052,327538,218115,109027,15169769.1
HLT presel.,190281,173321,69392,10688,945198.8
SV sel. (chi2<10 dR<1.2),186807,161773,56184,8475,686213.0
BDT sel.,47377,90879,37828,5612,92.3

"# TABLE: Signal relative effs wrt N_total | Mu10ORDoubleMu | mpi=4, mA=0.40"
Efficiency,"mpi=4, mA=0.40, ctau=0.1mm","mpi=4, mA=0.40, ctau=1mm","mpi=4, mA=0.40, ctau=10mm","mpi=4, mA=0.40, ctau=100mm",QCD Weighted.eff
eps_kin,0.3527,0.3409,0.2479,0.1135,0.1470
eps_HLT,0.2084,0.1804,0.0789,0.0111,0.0094
eps_SV,0.2046,0.1684,0.0639,0.0088,0.0068
eps_BDT,0.0519,0.0946,0.0430,0.0058,0.0000

"# TABLE: lxy=[0,1]cm efficiencies | Mu10ORDoubleMu | mpi=4, mA=0.40"
Step,"mpi=4, mA=0.40, ctau=0.1mm","mpi=4, mA=0.40, ctau=1mm","mpi=4, mA=0.40, ctau=10mm","mpi=4, mA=0.40, ctau=100mm"
N_lxy,301977,179263,94058,61544
eps_kin,0.9685,0.9525,0.9373,0.9383
eps_HLT,0.5709,0.3706,0.1885,0.0428
eps_SV,0.5605,0.3212,0.1118,0.0265
eps_BDT,0.1257,0.1128,0.0311,0.0042

"# TABLE: lxy=[1,10]cm efficiencies | Mu10ORDoubleMu | mpi=4, mA=0.40"
Step,"mpi=4, mA=0.40, ctau=0.1mm","mpi=4, mA=0.40, ctau=1mm","mpi=4, mA=0.40, ctau=10mm","mpi=4, mA=0.40, ctau=100mm"
N_lxy,29476,142485,84528,36474
eps_kin,0.9570,0.9772,0.9547,0.9318
eps_HLT,0.5944,0.6744,0.3742,0.1201
eps_SV,0.5855,0.6629,0.3291,0.1006
eps_BDT,0.3183,0.4392,0.2153,0.0622

"# TABLE: lxy=[10,100]cm efficiencies | Mu10ORDoubleMu | mpi=4, mA=0.40"
Step,"mpi=4, mA=0.40, ctau=0.1mm","mpi=4, mA=0.40, ctau=1mm","mpi=4, mA=0.40, ctau=10mm","mpi=4, mA=0.40, ctau=100mm"
N_lxy,1443,17612,50041,17685
eps_kin,0.9369,0.9940,0.9813,0.9692
eps_HLT,0.2474,0.6115,0.4001,0.2072
eps_SV,0.1906,0.5527,0.3564,0.1794
eps_BDT,0.0270,0.4581,0.3337,0.1740

"# TABLE: Signal absolute counts | Mu10ORDoubleMu | mpi=10, mA=1.00"
Cut step,"mpi=10, mA=1.00, ctau=0.1mm","mpi=10, mA=1.00, ctau=1mm","mpi=10, mA=1.00, ctau=10mm","mpi=10, mA=1.00, ctau=100mm",QCD Total (weighted)
N_total,911340,804161,806777,853360,104417287.1
Kin sel.,203996,176716,147756,83056,15169769.1
HLT presel.,131224,111631,68918,13837,945198.8
SV sel. (chi2<10 dR<1.2),128849,105763,58144,10923,686213.0
BDT sel.,19312,49914,41373,8290,92.3

"# TABLE: Signal relative effs wrt N_total | Mu10ORDoubleMu | mpi=10, mA=1.00"
Efficiency,"mpi=10, mA=1.00, ctau=0.1mm","mpi=10, mA=1.00, ctau=1mm","mpi=10, mA=1.00, ctau=10mm","mpi=10, mA=1.00, ctau=100mm",QCD Weighted.eff
eps_kin,0.2238,0.2198,0.1831,0.0973,0.1470
eps_HLT,0.1440,0.1388,0.0854,0.0162,0.0094
eps_SV,0.1414,0.1315,0.0721,0.0128,0.0068
eps_BDT,0.0212,0.0621,0.0513,0.0097,0.0000

"# TABLE: lxy=[0,1]cm efficiencies | Mu10ORDoubleMu | mpi=10, mA=1.00"
